_id,title,source,primary_keyword,mention_year,metric_name,metric_value
69ce9d979d3427d3654d3276,News: Nach Rücktritt - »Mein erster großer Fehler«: Tim Cook blickt auf seine Zeit als Apple-CEO zurück,newsapi_Apple_page_2.json,tim cook,2026,rating,3.0
69ce9d979d3427d3654d3278,Apple doesnt lawsuit,sample.csv,general_apple,2026,rating,3.0
69ce9d979d3427d3654d3279,Apple faces lawsuit,sample.xml,general_apple,2026,rating,3.0
69ed2b5ef527cb7a1c1159e2,Ads Are Coming to Apple Maps This Summer: Here's What to Expect,newsapi_Apple_page_1.json,general_apple,2026,rating,3.0
69ed2b5ef527cb7a1c1159eb,Apple ville sätta stopp för föreningslogga i Österlen,newsapi_Apple_page_1.json,general_apple,2026,rating,3.0
69ed2b5ef527cb7a1c1159ef,20th Anniversary iPhone to Feature Custom 'Micro-Curved' OLED Panel - MacRumors,newsapi_Apple_page_1.json,iphone,2026,rating,3.0
69ed2b5ef527cb7a1c1159f0,Tim Cook admits his biggest mistake and proudest moment as Apple CEO - PhoneArena,newsapi_Apple_page_1.json,tim cook,2026,rating,3.0
69ed2b5ef527cb7a1c1159f1,John Catsimatidis looking to go international with beloved radio station,newsapi_Apple_page_1.json,general_apple,2026,rating,3.0
69ed2b5ef527cb7a1c1159f2,"MGA, aka Mrs. GREEN APPLE: A Beginner's Guide to Japan's Monster Band",newsapi_Apple_page_2.json,general_apple,2026,rating,3.0
69ed2b5ef527cb7a1c1159f8,iPhone 18 Could Come With 12GB of RAM,newsapi_Apple_page_2.json,iphone,2026,rating,3.0
69ed2b5ef527cb7a1c1159f9,How to watch Major League Baseball games Fridays on Apple TV,newsapi_Apple_page_2.json,apple watch,2026,rating,3.0
69ed2b5ef527cb7a1c1159fd,Jennifer Aniston Gets to Work Filming 'The Morning Show' Season 5,newsapi_Apple_page_2.json,apple services,2026,rating,3.0
69ed2b5ef527cb7a1c1159ff,Disgraceful driving record of New York City COP who's had 547 tickets since 2022... and the disgusting reason why NYPD won't lift a finger to punish him,newsapi_Apple_page_2.json,general_apple,2026,rating,3.0
69ed2b5ef527cb7a1c115a03,Для iPhone 20 могут готовить безрамочный микроизогнутый OLED‑дисплей Samsung с технологией COE,newsapi_Apple_page_2.json,iphone,2026,rating,3.0
69ed2b5ef527cb7a1c115a05,How Apple Filmed its Flashy MacBook Neo Video Using Handmade Props,newsapi_Apple_page_3.json,macbook,2026,rating,3.0
69ed2b5ef527cb7a1c115a08,How John Ternus could finally fulfill Steve Jobs’ original vision for the iPad as a true primary computing device,newsapi_Apple_page_3.json,iphone,2026,rating,3.0
69ed2b5ef527cb7a1c115a0b,Nicole Kidman was rushed to hospital after filming pro-wrestling TV scene,newsapi_Apple_page_3.json,general_apple,2026,rating,3.0
